Title,Node_ID,Description,Category,Agency,Location,Type
99th Regional Support Command Uses LED Lighting to Capture Significant Savings,/node/2129519,"Describes how the Army Reserve 99th Regional Support Command cut energy consumption in half at the Support Command's Technical Sergeant Vernon McGarity Army Reserve Center by replacing more than 1,200 fluorescent troffers with LED troffers with dimmers.",Energy-Efficient Products and Technologies,DOD,PA,Fact sheet
Air Force Achieves Fuel Efficiency Through Industry Best Practices,/node/759411,Overview of the U.S. Air Force's fuel-efficiency program.,Awards,DOD,PA,Fact sheet
Air Handler Condensate Recovery at the Environmental Protection Agency's Science and Ecosystem Support Division,/node/757301,Details the U.S. Environmental Protection Agency's (EPA) decision to address water conservation and management for its Science and Ecosystem Support Division due to a severe drought.,Water Management,EPA,GA,Fact sheet
Alcatraz Island,/node/3674602,Details a solar-powered microgrid on the main cell house building which integrated with diesel generators to power the island.,Distributed Energy,DOI,CA,Web page
Ames Research Center Success Story,/node/3434190,Details how the National Aeronautics and Space Administration achieved over $1 million in one-time utility incentives and rebates by launching a utility energy service contract.,Utility Energy Service Contracts,DOE,CA,Video
Army Reserve 63d RSC Achieves 85% Savings in Parking Lot Lighting,/node/1561476,"Describes how the Army Reserve 63d Regional Support Command achieved 85% energy savings and $4,000 per year in cost savings by replacing 12 old light fixtures with light-emitting diode fixtures in the military equipment parking area.",Energy-Efficient Products and Technologies,DOD,AR,Fact sheet
An Exemplary Earth Day Event: NIST Ribbon-Cutting Event for Solar PV Project under FEMP's ESPC ENABLE Program,/node/4139825,Details how the project represents an economical clean energy solution that reduces government energy costs. ,Energy Savings Performance Contracts,NIST,DC,Web page
Aspinall Courthouse: GSA's Historic Preservation and Net-Zero Renovation,/node/978261,"Overview of GSA's decision to align historic preservation renovations with zero energy goals in the Wayne N. Aspinall Federal Building and U.S. Courthouse in Grand Junction, Colorado.",Facilities; Distributed Energy,GSA,CO,Fact sheet
Biscayne National Park,/node/3674614,"Describes a 15-kW PV system which replaced two 60-kW diesel generators, reducing the need for fuel transport.",Distributed Energy,DOI,FL,Web page
Blue Ridge Parkway,/node/3674617,"Describes a 1,560-kW PV system includes 300 safety lights, which provided lighting for nighttime visitors and improve site visibility throughout the day.",Distributed Energy,DOI,NC; VA,Web page
Boiler Combustion Control and Monitoring System,/node/849626,Details how system operating costs were reduced over the baseline and over existing state-of-the-art combustion control technology.,Energy-Efficient Products and Technologies,DOD,NY,Web page
Boiler Upgrades and Decentralizing Steam Systems Save Water and Energy at Naval Air Station Oceana,/node/757226,Details Naval Air Station Oceana findings that its heating needs could be met more efficiently by replacing its central plant with a combination of distributed boilers and ground source heat pumps.,Water Management; Distributed Energy,DOD,VA,Fact sheet
Bureau of Land Management ESPC Across Six States,/node/759246,"Describes how the U.S. Department of the Interior (DOI) Bureau of Land Management (BLM) successfully implemented an energy savings performance contract (ESPC) with Johnson Controls, Inc., to implement energy efficiency improvements at remote BLM sites in six western states.",Energy Savings Performance Contracts,DOI,CO; ID; MT; NV; OR; WY,Fact sheet
Byron G. Rogers Federal Building Harvests Daylight and Super Savings,/node/2316281,Describes how the Byron G. Rogers Federal Building replaced existing T12 and T8 luminaires with LED dedicated troffers with advanced controls.,Energy-Efficient Products and Technologies,GSA,CO,Fact sheet
Camp Pendleton Saves 91% in Parking Lot Lighting,/node/1576391,Describes how Marine Corps Base Camp Pendleton replaced high-pressure sodium fixtures in one parking lot with high-efficiency induction fixtures for energy and cost savings.,Energy-Efficient Products and Technologies,DOD,CA,Fact sheet
Case Study: Evaluating Liquid Versus Air Cooling in the Maui High-Performance Computing Center,/node/943961,Evaluates the energy efficiency of a liquid-cooled computing system applied in a retrofit project at this U.S. Department of Defense (DOD) installation.,Data Centers,DOD,HI,Fact sheet
"Case Study: Innovative Energy Efficiency Approaches in NOAA's Environmental Security Computing Center in Fairmont, West Virginia",/node/918871,Summarizes three data centers evaluated for potential energy efficiency improvements in this National Oceanic and Atmospheric Administration (NOAA) computing center.,Data Centers,DOC,WV,Fact sheet
"Case Study: Mobile Photovoltaic System at Bechler Meadows Ranger Station, Yellowstone National Park",/node/811649,"Describes the performance of a mobile photovoltaic system installed in 2011 to provide power to Bechler Ranger Station in Yellowstone National Park, Wyoming.",Distributed Energy,NPS; DOI,WY,Fact sheet
Case Study: Opportunities to Improve Energy-Efficiency in Three Federal Data Centers,/node/918876,Details three data centers Lawrence Berkeley National Laboratory (LBNL) evaluated for potential energy-efficiency improvements.,Data Centers,DOE,N/A,Fact sheet
Channel Islands National Park,/node/3674620,"Details two wind turbines and several PV systems which provided power to facilities on Santa Cruz, Santa Rosa, and San Miguel islands.",Distributed Energy,DOI,CA,Web page
Charles McC. Mathias Laboratory Smithsonian Environmental Research Center,/node/1859106,"Details the integrated design and operation of sustainable energy, water, and material systems into the Charles McC. Mathias Laboratory.",Facilities; Distributed Energy,Smithsonian,MD,Video
Chickasaw National Recreation Area,/node/3674626,Describes the solar hot water system which provided water to comfort stations at a consistent temperature of 105°F.,Distributed Energy,DOI,OK,Web page
Comprehensive Energy Program at Patrick Air Force Base Set to Exceed Energy Goals,/node/760586,Focuses on Patrick Air Force Base's use of a utility energy services contract to achieve its energy goals.,Utility Energy Service Contracts,DOD,FL,Fact sheet
Connecting Sustainability to the Agency's Mission,/node/757556,Fact sheet describes a case study on the USFW Energy Management Program's mission to increase energy awareness and efficiency through various projects funded through the American Recovery and Reinvestment Act.,Institutional Change,DOI,N/A,Fact sheet
Crater Lake National Park,/node/3674632,"Describes how PV panels provide power to Crater Lake's North Entrance Fee Station, which has no connection to a commercial power source.",Distributed Energy,DOI,OR,Web page
"Data, Feedback, and Awareness Lead to Big Energy Savings",/node/757546,"Describes how the Navy Region Southwest Metro San Diego Area regional energy management team achieved significant energy savings at the Naval Base Coronado, Naval Base San Diego, and Naval Base Point Loma.",Institutional Change,DOD,CA,Fact sheet
